exception_id,order_id,store_id,created_at,exception_type,reason,category,status,refund_amount,resolution_minutes,fraud_risk_score
ex_000329,ord_000329,store_046,2026-05-20T14:19,return,customer_changed_mind,apparel,resolved,54.1,27,0.29
ex_000330,ord_000330,store_017,2026-05-14T13:14,return,wrong_item,grocery,pending,113.4,28,0.3
ex_000331,ord_000331,store_035,2026-05-09T21:50,return,damaged_item,fresh,resolved,48.15,29,0.31
ex_000338,ord_000338,store_016,2026-05-07T15:42,refund_request,missing_item,frozen,resolved,57.8,36,0.38
ex_000343,ord_000343,store_012,2026-05-19T20:21,return,missing_item,fresh,resolved,121.1,41,0.43
ex_000345,ord_000345,store_022,2026-05-24T15:41,return,wrong_item,household,resolved,59.5,43,0.45
ex_000346,ord_000346,store_046,2026-05-09T20:20,return,damaged_item,electronics,resolved,60.5,44,0.46
ex_000352,ord_000352,store_029,2026-05-06T13:57,complaint,late_order,electronics,resolved,50.6,50,0.52
ex_000356,ord_000356,store_034,2026-05-06T13:08,return,damaged_item,frozen,resolved,73.15,54,0.56
ex_000360,ord_000360,store_018,2026-05-20T17:50,return,wrong_item,grocery,pending,183.15,58,0.6
ex_000362,ord_000362,store_044,2026-05-19T11:24,complaint,late_order,frozen,resolved,105.65,60,0.62
ex_000363,ord_000363,store_045,2026-05-23T12:18,return,missing_item,household,resolved,228.55,61,0.63
ex_000370,ord_000370,store_015,2026-05-12T17:53,return,wrong_item,electronics,resolved,79.2,68,0.7
ex_000376,ord_000376,store_017,2026-05-14T21:23,return,damaged_item,electronics,resolved,95.8,74,0.76
ex_000377,ord_000377,store_046,2026-05-19T17:36,complaint,late_order,apparel,resolved,210.75,75,0.77
ex_000384,ord_000384,store_027,2026-05-07T09:11,return,customer_changed_mind,grocery,pending,101.15,82,0.84
ex_000401,ord_000401,store_022,2026-05-02T21:05,return,damaged_item,apparel,resolved,189.2,99,0.01
ex_000405,ord_000405,store_036,2026-05-02T14:33,return,wrong_item,household,resolved,20.95,103,0.05
ex_000412,ord_000412,store_043,2026-05-03T20:08,complaint,late_order,electronics,resolved,27.95,110,0.12
ex_000418,ord_000418,store_024,2026-05-10T19:51,return,missing_item,electronics,resolved,55.15,116,0.18
ex_000419,ord_000419,store_014,2026-05-05T17:28,return,customer_changed_mind,apparel,resolved,56.15,117,0.19
ex_000421,ord_000421,store_022,2026-05-13T14:35,return,damaged_item,fresh,resolved,230.4,119,0.21
ex_000423,ord_000423,store_033,2026-05-19T18:25,return,missing_item,household,resolved,54.85,121,0.23
ex_000425,ord_000425,store_039,2026-05-04T12:41,return,wrong_item,apparel,resolved,62.15,123,0.25
ex_000434,ord_000434,store_017,2026-05-16T18:14,cancellation,customer_changed_mind,frozen,resolved,55.25,132,0.34
ex_000445,ord_000445,store_020,2026-05-15T08:33,return,wrong_item,fresh,resolved,74.2,143,0.45
ex_000447,ord_000447,store_022,2026-05-16T18:00,complaint,late_order,household,resolved,282.9,145,0.47
ex_000454,ord_000454,store_050,2026-05-08T13:44,return,customer_changed_mind,electronics,resolved,85.85,152,0.54
ex_000458,ord_000458,store_024,2026-05-22T12:51,return,missing_item,frozen,resolved,129.6,156,0.58
ex_000460,ord_000460,store_016,2026-05-11T15:37,return,wrong_item,electronics,resolved,91.85,158,0.6
ex_000469,ord_000469,store_027,2026-05-06T13:12,return,customer_changed_mind,fresh,resolved,103.5,167,0.69
ex_000470,ord_000470,store_036,2026-05-24T18:55,return,wrong_item,frozen,resolved,138.95,168,0.7
ex_000483,ord_000483,store_017,2026-05-13T13:25,return,missing_item,household,resolved,48.1,21,0.83
ex_000488,ord_000488,store_006,2026-05-06T13:50,return,missing_item,frozen,resolved,26.6,26,0.88
ex_000498,ord_000498,store_012,2026-05-16T20:04,return,missing_item,grocery,pending,39.25,36,0.98
ex_000504,ord_000504,store_019,2026-05-07T19:36,return,customer_changed_mind,grocery,pending,45.25,42,0.04
ex_000508,ord_000508,store_045,2026-05-21T08:30,return,missing_item,electronics,resolved,49.25,46,0.08
ex_000509,ord_000509,store_009,2026-05-11T11:03,return,customer_changed_mind,apparel,resolved,50.25,47,0.09
ex_000517,ord_000517,store_037,2026-05-01T11:59,complaint,late_order,fresh,resolved,63.55,55,0.17
ex_000536,ord_000536,store_010,2026-05-21T12:05,return,damaged_item,frozen,resolved,79.9,74,0.36
ex_000547,ord_000547,store_011,2026-05-15T13:33,complaint,late_order,fresh,resolved,98.85,85,0.47
ex_000564,ord_000564,store_015,2026-05-24T07:57,return,customer_changed_mind,grocery,pending,59.7,102,0.64
ex_000569,ord_000569,store_017,2026-05-15T13:05,return,customer_changed_mind,apparel,resolved,210.45,107,0.69
ex_000591,ord_000591,store_043,2026-05-04T12:28,return,damaged_item,household,resolved,70.8,129,0.91
ex_000593,ord_000593,store_029,2026-05-11T21:21,return,missing_item,apparel,resolved,46.3,131,0.93
ex_000599,ord_000599,store_038,2026-05-19T12:43,return,customer_changed_mind,apparel,resolved,150.35,137,0.99
ex_000601,ord_000601,store_005,2026-05-06T17:42,return,damaged_item,fresh,resolved,70.2,139,0.01
ex_000602,ord_000602,store_040,2026-05-02T23:07,complaint,late_order,frozen,resolved,60.6,140,0.02
ex_000603,ord_000603,store_044,2026-05-21T18:59,return,missing_item,household,resolved,72.2,141,0.03
ex_000611,ord_000611,store_008,2026-05-10T20:07,refund_request,damaged_item,apparel,resolved,98.75,149,0.11
ex_000617,ord_000617,store_032,2026-05-03T11:59,complaint,late_order,apparel,resolved,75.6,155,0.17
ex_000625,ord_000625,store_040,2026-05-20T12:36,return,wrong_item,fresh,resolved,99.5,163,0.25
ex_000631,ord_000631,store_025,2026-05-21T19:07,return,damaged_item,fresh,resolved,132.0,169,0.31
ex_000639,ord_000639,store_041,2026-05-08T19:52,return,customer_changed_mind,household,resolved,182.4,177,0.39
ex_000656,ord_000656,store_005,2026-05-11T14:26,return,damaged_item,frozen,resolved,185.65,34,0.56
ex_000658,ord_000658,store_024,2026-05-06T16:48,return,missing_item,electronics,resolved,44.55,36,0.58
ex_000696,ord_000696,store_024,2026-05-02T20:47,failed_delivery,damaged_item,grocery,pending,122.3,74,0.96
ex_000704,ord_000704,store_003,2026-05-01T18:40,return,customer_changed_mind,frozen,resolved,188.6,82,0.04
ex_000705,ord_000705,store_037,2026-05-24T15:24,return,wrong_item,household,resolved,80.95,83,0.05
ex_000709,ord_000709,store_032,2026-05-23T19:10,return,customer_changed_mind,fresh,resolved,156.5,87,0.09
ex_000715,ord_000715,store_024,2026-05-16T17:55,refund_request,wrong_item,fresh,resolved,96.25,93,0.15
ex_000719,ord_000719,store_039,2026-05-10T08:41,return,customer_changed_mind,apparel,resolved,198.3,97,0.19
ex_000721,ord_000721,store_006,2026-05-23T10:43,return,damaged_item,fresh,resolved,75.25,99,0.21
ex_000741,ord_000741,store_015,2026-05-09T07:51,refund_request,damaged_item,household,resolved,129.7,119,0.41
ex_000748,ord_000748,store_025,2026-05-05T23:14,return,missing_item,electronics,resolved,65.15,126,0.48
ex_000751,ord_000751,store_047,2026-05-17T15:09,return,damaged_item,fresh,resolved,68.15,129,0.51
ex_000752,ord_000752,store_033,2026-05-06T10:49,complaint,late_order,frozen,resolved,90.35,130,0.52
ex_000754,ord_000754,store_049,2026-05-07T19:54,refund_request,customer_changed_mind,electronics,resolved,113.55,132,0.54
ex_000762,ord_000762,store_035,2026-05-03T20:21,complaint,late_order,grocery,pending,68.55,140,0.62
ex_000770,ord_000770,store_047,2026-05-19T21:16,return,wrong_item,frozen,resolved,92.45,148,0.7
ex_000781,ord_000781,store_047,2026-05-05T19:56,return,damaged_item,fresh,resolved,98.15,159,0.81
ex_000785,ord_000785,store_003,2026-05-14T20:36,return,wrong_item,apparel,resolved,102.15,163,0.85
ex_000799,ord_000799,store_002,2026-05-14T20:45,return,customer_changed_mind,fresh,resolved,126.75,177,0.99
ex_000800,ord_000800,store_011,2026-05-19T22:40,return,wrong_item,frozen,resolved,92.8,18,0.0
ex_000805,ord_000805,store_014,2026-05-08T16:33,return,wrong_item,fresh,resolved,55.4,23,0.05
ex_000812,ord_000812,store_021,2026-05-08T14:38,complaint,late_order,frozen,resolved,163.1,30,0.12
ex_000831,ord_000831,store_030,2026-05-07T16:47,return,damaged_item,household,resolved,269.55,49,0.31
ex_000832,ord_000832,store_008,2026-05-16T16:23,complaint,late_order,electronics,resolved,47.95,50,0.32
ex_000839,ord_000839,store_035,2026-05-24T14:00,return,customer_changed_mind,apparel,resolved,354.4,57,0.39
ex_000846,ord_000846,store_047,2026-05-21T20:23,return,damaged_item,grocery,pending,114.95,64,0.46
ex_000847,ord_000847,store_023,2026-05-19T12:57,complaint,late_order,fresh,resolved,94.75,65,0.47
ex_000863,ord_000863,store_006,2026-05-08T21:27,return,missing_item,apparel,resolved,227.35,81,0.63
ex_000868,ord_000868,store_030,2026-05-15T18:47,cancellation,missing_item,electronics,resolved,205.85,86,0.68
ex_000887,ord_000887,store_047,2026-05-03T20:10,complaint,late_order,apparel,resolved,176.65,105,0.87
ex_000888,ord_000888,store_019,2026-05-07T21:25,return,missing_item,grocery,pending,45.15,106,0.88
ex_000893,ord_000893,store_024,2026-05-21T17:27,return,missing_item,apparel,resolved,39.55,111,0.93
ex_000900,ord_000900,store_026,2026-05-07T12:31,return,wrong_item,grocery,pending,38.6,118,0.0
ex_000902,ord_000902,store_027,2026-05-10T14:30,complaint,late_order,frozen,resolved,146.6,120,0.02
ex_000927,ord_000927,store_040,2026-05-14T19:17,complaint,late_order,household,resolved,81.5,145,0.27
ex_000928,ord_000928,store_008,2026-05-23T22:38,failed_delivery,missing_item,electronics,resolved,238.85,146,0.28
ex_000931,ord_000931,store_002,2026-05-02T23:43,return,damaged_item,fresh,resolved,77.55,149,0.31
ex_000934,ord_000934,store_043,2026-05-16T21:05,return,customer_changed_mind,electronics,resolved,75.25,152,0.34
ex_000940,ord_000940,store_002,2026-05-07T16:09,return,wrong_item,electronics,resolved,91.85,158,0.4
ex_000964,ord_000964,store_050,2026-05-09T20:58,return,customer_changed_mind,electronics,resolved,176.3,22,0.64
ex_000969,ord_000969,store_032,2026-05-07T19:53,return,customer_changed_mind,household,resolved,96.5,27,0.69
ex_000971,ord_000971,store_022,2026-05-18T15:59,return,damaged_item,apparel,resolved,37.55,29,0.71
ex_000987,ord_000987,store_050,2026-05-03T19:58,complaint,late_order,household,resolved,80.05,45,0.87
ex_000994,ord_000994,store_025,2026-05-15T23:35,return,customer_changed_mind,electronics,resolved,169.2,52,0.94
ex_000998,ord_000998,store_011,2026-05-04T16:35,return,missing_item,frozen,resolved,159.95,56,0.98
ex_001010,ord_001010,store_025,2026-05-14T13:32,return,wrong_item,frozen,resolved,153.4,68,0.1
ex_001011,ord_001011,store_033,2026-05-22T20:06,return,damaged_item,household,resolved,82.85,69,0.11
ex_001016,ord_001016,store_039,2026-05-10T18:40,return,damaged_item,frozen,resolved,374.05,74,0.16
ex_001017,ord_001017,store_037,2026-05-04T16:54,complaint,late_order,household,resolved,94.15,75,0.17
ex_001031,ord_001031,store_030,2026-05-08T16:45,return,damaged_item,apparel,resolved,92.25,89,0.31
ex_001033,ord_001033,store_019,2026-05-16T22:39,return,missing_item,fresh,resolved,149.9,91,0.33
ex_001034,ord_001034,store_035,2026-05-24T15:26,return,customer_changed_mind,frozen,resolved,97.9,92,0.34
ex_001044,ord_001044,store_021,2026-05-18T09:40,failed_delivery,customer_changed_mind,grocery,pending,75.6,102,0.44
ex_001046,ord_001046,store_001,2026-05-15T07:45,return,damaged_item,frozen,resolved,37.85,104,0.46
ex_001048,ord_001048,store_025,2026-05-08T22:00,return,missing_item,electronics,resolved,148.5,106,0.48
ex_001055,ord_001055,store_030,2026-05-18T15:28,return,wrong_item,apparel,resolved,113.1,113,0.55
ex_001068,ord_001068,store_011,2026-05-21T19:58,return,missing_item,grocery,pending,70.45,126,0.68
ex_001071,ord_001071,store_043,2026-05-18T10:53,return,damaged_item,household,resolved,81.4,129,0.71
ex_001081,ord_001081,store_037,2026-05-06T09:56,return,damaged_item,fresh,resolved,107.3,139,0.81
ex_001108,ord_001108,store_036,2026-05-22T21:35,return,missing_item,electronics,resolved,89.25,166,0.08
ex_001113,ord_001113,store_024,2026-05-03T17:59,return,missing_item,household,resolved,266.5,171,0.13
ex_001128,ord_001128,store_015,2026-05-01T07:26,return,missing_item,grocery,pending,39.85,26,0.28
ex_001137,ord_001137,store_023,2026-05-20T19:05,complaint,late_order,household,resolved,43.55,35,0.37
ex_001138,ord_001138,store_047,2026-05-19T20:37,return,missing_item,electronics,resolved,36.6,36,0.38
ex_001140,ord_001140,store_026,2026-05-06T18:33,return,wrong_item,grocery,pending,70.4,38,0.4
ex_001141,ord_001141,store_014,2026-05-04T17:13,return,damaged_item,fresh,resolved,44.9,39,0.41
ex_001144,ord_001144,store_039,2026-05-22T10:06,refund_request,customer_changed_mind,electronics,resolved,122.1,42,0.44
ex_001147,ord_001147,store_048,2026-05-22T15:22,complaint,late_order,fresh,resolved,56.2,45,0.47
ex_001149,ord_001149,store_020,2026-05-13T13:14,return,customer_changed_mind,household,resolved,47.6,47,0.49
ex_001152,ord_001152,store_045,2026-05-17T13:07,complaint,late_order,grocery,pending,55.9,50,0.52
ex_001161,ord_001161,store_023,2026-05-01T21:23,return,damaged_item,household,resolved,170.9,59,0.61
ex_001166,ord_001166,store_050,2026-05-18T13:50,return,damaged_item,frozen,resolved,64.6,64,0.66
ex_001175,ord_001175,store_033,2026-05-23T19:22,return,wrong_item,apparel,resolved,147.8,73,0.75
ex_001177,ord_001177,store_036,2026-05-07T11:43,complaint,late_order,fresh,resolved,171.0,75,0.77
ex_001195,ord_001195,store_047,2026-05-15T21:01,return,wrong_item,fresh,resolved,379.8,93,0.95
ex_001197,ord_001197,store_012,2026-05-11T21:28,complaint,late_order,household,resolved,153.9,95,0.97
ex_001202,ord_001202,store_044,2026-05-17T19:37,complaint,late_order,frozen,resolved,145.15,100,0.02
ex_001204,ord_001204,store_023,2026-05-13T20:29,return,customer_changed_mind,electronics,resolved,25.25,102,0.04
ex_001205,ord_001205,store_049,2026-05-14T14:16,return,wrong_item,apparel,resolved,111.05,103,0.05
ex_001206,ord_001206,store_017,2026-05-03T16:13,return,damaged_item,grocery,pending,27.25,104,0.06
ex_001207,ord_001207,store_029,2026-05-08T21:29,complaint,late_order,fresh,resolved,36.2,105,0.07
ex_001222,ord_001222,store_032,2026-05-08T15:39,complaint,late_order,electronics,resolved,67.1,120,0.22
ex_001230,ord_001230,store_042,2026-05-01T09:10,return,wrong_item,grocery,pending,61.85,128,0.3
ex_001231,ord_001231,store_011,2026-05-01T20:16,return,damaged_item,fresh,resolved,179.45,129,0.31
ex_001244,ord_001244,store_045,2026-05-04T11:35,return,customer_changed_mind,frozen,resolved,253.4,142,0.44
ex_001245,ord_001245,store_032,2026-05-16T13:18,return,wrong_item,household,resolved,82.15,143,0.45
ex_001247,ord_001247,store_048,2026-05-12T12:45,complaint,late_order,apparel,resolved,68.25,145,0.47
ex_001269,ord_001269,store_037,2026-05-22T21:28,return,customer_changed_mind,household,resolved,106.15,167,0.69
ex_001296,ord_001296,store_017,2026-05-23T15:08,return,damaged_item,grocery,pending,61.1,34,0.96
ex_001304,ord_001304,store_036,2026-05-16T17:05,return,customer_changed_mind,frozen,resolved,236.05,42,0.04
ex_001309,ord_001309,store_026,2026-05-15T21:47,return,customer_changed_mind,fresh,resolved,60.85,47,0.09
ex_001313,ord_001313,store_025,2026-05-21T21:35,refund_request,missing_item,apparel,resolved,160.25,51,0.13
ex_001316,ord_001316,store_026,2026-05-05T15:17,return,damaged_item,frozen,resolved,67.85,54,0.16
ex_001320,ord_001320,store_003,2026-05-03T16:59,return,wrong_item,grocery,pending,169.9,58,0.2
ex_001321,ord_001321,store_003,2026-05-14T21:33,return,damaged_item,fresh,resolved,78.15,59,0.21
ex_001342,ord_001342,store_008,2026-05-19T10:47,complaint,late_order,electronics,resolved,112.4,80,0.42
ex_001363,ord_001363,store_006,2026-05-14T14:12,failed_delivery,missing_item,fresh,resolved,77.25,101,0.63
ex_001374,ord_001374,store_030,2026-05-21T11:07,return,customer_changed_mind,grocery,pending,191.6,112,0.74
ex_001380,ord_001380,store_009,2026-05-10T20:06,return,wrong_item,grocery,pending,70.4,118,0.8
ex_001393,ord_001393,store_046,2026-05-20T10:43,return,missing_item,fresh,resolved,99.3,131,0.93
ex_001403,ord_001403,store_034,2026-05-14T17:51,return,missing_item,apparel,resolved,111.95,141,0.03
ex_001410,ord_001410,store_034,2026-05-20T21:28,return,wrong_item,grocery,pending,76.55,148,0.1
ex_001413,ord_001413,store_023,2026-05-16T17:36,return,missing_item,household,resolved,74.25,151,0.13
ex_001415,ord_001415,store_004,2026-05-03T14:00,return,wrong_item,apparel,resolved,84.2,153,0.15
ex_001418,ord_001418,store_017,2026-05-04T12:51,return,missing_item,frozen,resolved,105.75,156,0.18
ex_001429,ord_001429,store_048,2026-05-06T19:25,return,customer_changed_mind,fresh,resolved,108.8,167,0.29
ex_001432,ord_001432,store_011,2026-05-20T13:00,complaint,late_order,electronics,resolved,90.6,170,0.32
ex_001439,ord_001439,store_001,2026-05-01T10:47,return,customer_changed_mind,apparel,resolved,145.3,177,0.39
ex_001441,ord_001441,store_047,2026-05-15T13:57,return,damaged_item,fresh,resolved,22.25,19,0.41
ex_001452,ord_001452,store_028,2026-05-02T18:00,complaint,late_order,grocery,pending,70.35,30,0.52
ex_001453,ord_001453,store_046,2026-05-14T19:39,return,missing_item,fresh,resolved,108.45,31,0.53
ex_001457,ord_001457,store_032,2026-05-07T18:30,complaint,late_order,apparel,resolved,125.7,35,0.57
ex_001463,ord_001463,store_008,2026-05-05T21:01,return,missing_item,apparel,resolved,107.85,41,0.63
ex_001467,ord_001467,store_041,2026-05-25T14:20,complaint,late_order,household,resolved,353.0,45,0.67
ex_001472,ord_001472,store_009,2026-05-02T09:39,complaint,late_order,frozen,resolved,275.85,50,0.72
ex_001475,ord_001475,store_025,2026-05-20T11:08,return,wrong_item,apparel,resolved,53.6,53,0.75
ex_001480,ord_001480,store_043,2026-05-03T20:32,return,wrong_item,electronics,resolved,61.25,58,0.8
ex_001483,ord_001483,store_043,2026-05-19T19:03,return,missing_item,fresh,resolved,74.85,61,0.83
ex_001489,ord_001489,store_006,2026-05-24T19:29,return,customer_changed_mind,fresh,resolved,70.25,67,0.89
ex_001498,ord_001498,store_050,2026-05-13T20:14,return,missing_item,electronics,resolved,73.95,76,0.98
ex_001504,ord_001504,store_026,2026-05-15T08:23,return,customer_changed_mind,electronics,resolved,114.4,82,0.04
ex_001521,ord_001521,store_010,2026-05-23T17:56,refund_request,damaged_item,household,resolved,189.2,99,0.21
ex_001545,ord_001545,store_022,2026-05-05T13:18,return,wrong_item,household,resolved,40.95,123,0.45
ex_001551,ord_001551,store_001,2026-05-22T18:47,return,damaged_item,household,resolved,78.75,129,0.51
ex_001556,ord_001556,store_024,2026-05-21T19:08,return,damaged_item,frozen,resolved,290.45,134,0.56
ex_001557,ord_001557,store_027,2026-05-17T19:51,complaint,late_order,household,resolved,52.95,135,0.57
ex_001565,ord_001565,store_017,2026-05-09T19:53,return,wrong_item,apparel,resolved,90.1,143,0.65
ex_001598,ord_001598,store_018,2026-05-21T16:16,return,missing_item,frozen,resolved,146.95,176,0.98
ex_001645,ord_001645,store_009,2026-05-04T15:15,return,wrong_item,fresh,resolved,76.85,63,0.45
ex_001663,ord_001663,store_010,2026-05-11T10:10,return,missing_item,fresh,resolved,211.45,81,0.63
ex_001668,ord_001668,store_032,2026-05-21T18:03,return,missing_item,grocery,pending,89.25,86,0.68
ex_001676,ord_001676,store_040,2026-05-11T19:23,return,damaged_item,frozen,resolved,253.6,94,0.76
ex_001686,ord_001686,store_018,2026-05-21T10:52,return,damaged_item,grocery,pending,43.15,104,0.86
ex_001692,ord_001692,store_039,2026-05-12T08:17,complaint,late_order,grocery,pending,65.05,110,0.92
ex_001705,ord_001705,store_009,2026-05-04T21:26,cancellation,wrong_item,fresh,resolved,80.7,123,0.05
ex_001712,ord_001712,store_026,2026-05-17T20:17,complaint,late_order,frozen,resolved,55.9,130,0.12
ex_001717,ord_001717,store_049,2026-05-10T08:18,complaint,late_order,fresh,resolved,55.6,135,0.17
ex_001722,ord_001722,store_005,2026-05-11T20:18,complaint,late_order,grocery,pending,103.0,140,0.22
ex_001735,ord_001735,store_032,2026-05-10T19:25,return,wrong_item,fresh,resolved,378.35,153,0.35
ex_001736,ord_001736,store_011,2026-05-11T22:10,cancellation,damaged_item,frozen,resolved,77.25,154,0.36
ex_001739,ord_001739,store_005,2026-05-24T21:28,return,customer_changed_mind,apparel,resolved,93.5,157,0.39
ex_001751,ord_001751,store_026,2026-05-12T15:11,return,damaged_item,apparel,resolved,102.85,169,0.51
ex_001761,ord_001761,store_008,2026-05-17T13:43,return,damaged_item,household,resolved,30.2,19,0.61
ex_001764,ord_001764,store_038,2026-05-21T13:45,return,customer_changed_mind,grocery,pending,17.3,22,0.64
ex_001765,ord_001765,store_007,2026-05-04T19:39,return,wrong_item,fresh,resolved,66.0,23,0.65
ex_001770,ord_001770,store_030,2026-05-23T18:33,return,wrong_item,grocery,pending,68.35,28,0.7
ex_001775,ord_001775,store_007,2026-05-23T20:35,return,wrong_item,apparel,resolved,245.6,33,0.75
ex_001785,ord_001785,store_029,2026-05-13T18:51,return,wrong_item,household,resolved,78.05,43,0.85
ex_001786,ord_001786,store_011,2026-05-03T13:08,return,damaged_item,electronics,resolved,47.25,44,0.86
ex_001796,ord_001796,store_005,2026-05-02T12:01,return,damaged_item,frozen,resolved,57.25,54,0.96
ex_001797,ord_001797,store_004,2026-05-09T18:14,complaint,late_order,household,resolved,63.55,55,0.97
ex_001798,ord_001798,store_016,2026-05-12T14:39,failed_delivery,missing_item,electronics,resolved,53.95,56,0.98
ex_001803,ord_001803,store_008,2026-05-22T14:56,return,missing_item,household,resolved,191.45,61,0.03
ex_001808,ord_001808,store_035,2026-05-19T17:34,return,missing_item,frozen,resolved,87.8,66,0.08
ex_001822,ord_001822,store_026,2026-05-24T20:28,complaint,late_order,electronics,resolved,93.85,80,0.22
ex_001823,ord_001823,store_025,2026-05-08T10:12,return,missing_item,apparel,resolved,108.1,81,0.23
ex_001833,ord_001833,store_044,2026-05-24T14:15,refund_request,missing_item,household,resolved,112.8,91,0.33
ex_001845,ord_001845,store_003,2026-05-12T10:31,return,wrong_item,household,resolved,76.6,103,0.45
ex_001859,ord_001859,store_015,2026-05-17T17:15,refund_request,customer_changed_mind,apparel,resolved,119.75,117,0.59
ex_001870,ord_001870,store_034,2026-05-05T21:52,return,wrong_item,electronics,resolved,51.25,128,0.7
ex_001877,ord_001877,store_012,2026-05-23T12:13,complaint,late_order,apparel,resolved,84.75,135,0.77
ex_001880,ord_001880,store_017,2026-05-05T10:30,return,wrong_item,frozen,resolved,58.6,138,0.8
ex_001888,ord_001888,store_037,2026-05-09T10:23,return,missing_item,electronics,resolved,116.95,146,0.88
ex_001890,ord_001890,store_015,2026-05-09T17:01,return,wrong_item,grocery,pending,79.2,148,0.9
ex_001921,ord_001921,store_031,2026-05-01T11:23,return,damaged_item,fresh,resolved,255.45,19,0.21
